Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-07-05,2293.84,2295.73,2243.43,2253.49,19623995
2013-07-08,2259.32,2265.29,2223.28,2223.28,14065811
2013-07-09,2236.28,2237.85,2200.11,2218.77,17260494
2013-07-10,2203.49,2246.47,2199.28,2244.63,17169742
2013-07-11,2275.84,2283.06,2269.38,2279.09,16235926
2013-07-12,2279.7,2309.37,2269.47,2302.81,21599589
2013-07-15,2298.88,2307.57,2286.8,2305.78,12012786
2013-07-16,2309.76,2310.57,2292.46,2303.05,18834705
2013-07-17,2298.26,2320.76,2287.4,2309.79,17803783
2013-07-18,2310.93,2313,2277.94,2300.33,16313014
2013-07-19,2291.48,2315.38,2284.32,2313.31,10242797
2013-07-22,2320.26,2325.31,2304.54,2311.49,11191856
2013-07-23,2317.65,2328.12,2310.2,2327.28,16194656
2013-07-24,2318.02,2333.88,2310.47,2324.17,18692047
2013-07-25,2321.49,2323.1,2294.54,2317.8,16485439
2013-07-26,2308.7,2312.11,2289.47,2291.1,11054087
2013-07-29,2293.44,2299.26,2281.5,2299.26,9062176
2013-07-30,2304.88,2308.73,2294.27,2307.79,11024059
2013-07-31,2304.79,2349.54,2302.31,2326.59,29988263
2013-08-01,2345.38,2359.56,2339.28,2351.14,16343347
2013-08-02,2359.12,2408.98,2356.43,2401.85,24767893
2013-08-05,2410.42,2411.63,2394.88,2405.73,12275416
2013-08-06,2400.68,2401.67,2362.61,2366.74,19541318
2013-08-07,2361.26,2381.35,2350.96,2380.01,15362940
2013-08-08,2387.07,2431.15,2386.33,2406.4,22235951
2013-08-09,2414.84,2420.22,2387.28,2414.28,14669208
2013-08-12,2415.45,2447.19,2403.27,2440.05,18925342
2013-08-13,2449.95,2457.28,2425.62,2442.3,17631870
2013-08-14,2437.2,2475.83,2436.01,2461.22,25350966
2013-08-16,2457.38,2463.17,2443.88,2445.6,12990262
2013-08-19,2447.66,2447.66,2419.11,2438.83,12972064
2013-08-20,2413.26,2422.45,2397.36,2405.32,17631135
2013-08-21,2394.76,2405.6,2383.15,2383.15,18486281
2013-08-22,2386.05,2422.67,2386.05,2420.68,24807690
2013-08-23,2417.45,2432.62,2405.23,2417.23,19706528
2013-08-26,2433.1,2442.15,2417.25,2417.91,9866585
2013-08-27,2407.56,2414.27,2367.63,2367.63,19481743
2013-08-28,2368.77,2376.16,2344.57,2361.85,19051178
2013-08-29,2380.22,2383.67,2357.63,2367.84,20498123
2013-08-30,2376.84,2384.22,2352.82,2384.22,25473915
2013-09-02,2407.47,2411.51,2394.21,2394.9,13335297
2013-09-03,2387.32,2397.51,2360.51,2367.49,26342014
2013-09-04,2372.28,2392.47,2303.27,2308.44,31824738
2013-09-05,2274.54,2283.67,2166.14,2201.5,47265924
2013-09-06,2211.27,2260.7,2210.37,2238.98,53615721
2013-09-09,2259.44,2290.86,2247.26,2290.86,23120272
2013-09-10,2315.44,2357.25,2310.73,2357.25,38577849
2013-09-11,2354.82,2380.01,2333.06,2380.01,24595415
